사고유형,X1_High_Risk_Prob,X2_Estimated_Compensation,X3_Accident_Frequency,TOPSIS_CC,순위
고등학교-운동장-등교-사람과의 부딪힘,0.9435761534551862,110000.0,2,0.3390424623288146,21
고등학교-실·내외 체육시설-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.9371294983382906,83000.0,1,0.337487964481945,22
중학교-강당(체육관)-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.9113534263015616,250302.103250478,523,0.3372339041229029,23
"고등학교-운동장-신체활동, 게임-사람과의 부딪힘",0.9335300168731258,36000.0,1,0.3366154857613283,24
중학교-운동장-등교-사람 사이에 끼임·눌림,0.9310067355913536,1230000.0,2,0.3362474541498087,25
고등학교-운동장-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.9198156964647862,3598565.6565656564,198,0.3361207460651986,26
고등학교-운동장-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.9288724273523566,681625.0,8,0.3356899921586574,27
고등학교-운동장-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.9235929253072402,530785.7142857143,28,0.3345922607179162,28
고등학교-운동장-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.9226106685665316,743916.6666666666,12,0.3342267577383417,29
중학교-운동장-경기출전-사람과의 부딪힘,0.911587369113454,684747.9674796748,246,0.3340698255915278,30
중학교-운동장-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.919811795906483,291466.6666666667,30,0.333647670270342,31
고등학교-강당(체육관)-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.9004543192977734,361849.7536945813,406,0.3331173448178469,32
고등학교-운동장-경기출전-사람과의 부딪힘,0.9038571881451362,806246.0567823343,317,0.3329985217678566,33
고등학교-일반(교과)교실-등교-사람과의 부딪힘,0.9174845182336172,436333.3333333333,3,0.3328255746295703,34
중학교-일반(교과)교실-등교-사람과의 부딪힘,0.9147825903052712,581250.0,12,0.3322860517163441,35
"중학교-운동장-기타(음악, 미술 등)-사람과의 부딪힘",0.9090008798396724,352590.3614457831,83,0.3315706364471372,36
고등학교-기타 교외-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.9102848117561212,292500.0,2,0.3310236446558529,37
고등학교-기타 체육·집회공간-쉬는시간-고온의 물체·물질 접촉·흡입·섭취,0.909990989294529,69500.0,2,0.3309091406662848,38
중학교-기타 체육·집회공간-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.9077058425532604,210000.0,1,0.3303627208362819,39
초등학교-운동장-등교-사람과의 부딪힘,0.905425120996482,202555.5555555556,18,0.329974545127145,40
중학교-일반(교과)교실-등교-사람 사이에 끼임·눌림,0.9022434633968132,193000.0,1,0.3290093873582134,41
고등학교-운동장-식사시간(간식 포함)-화학물질 접촉·흡입·섭취,0.9004090168562415,440000.0,1,0.3286010099981516,42
고등학교-강당(체육관)-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.8997681996653027,96666.66666666669,3,0.3283976513505374,43
고등학교-실·내외 체육시설-쉬는시간-1미터 이상의 높이에서 떨어짐,0.899560527005209,210000.0,1,0.3283468285612609,44
고등학교-강당(체육관)-식사시간(간식 포함)-동물에게 물림(사람 포함),0.8988398570863609,219666.66666666663,3,0.328190118975717,45
고등학교-일반(교과)교실-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.898216099602145,395500.0,2,0.3280578524451641,46
중학교-복도-등교-사람과의 부딪힘,0.8967443864105906,260235.29411764705,17,0.3278207247331993,47
고등학교-일반(교과)교실-식사시간(간식 포함)-사람과의 부딪힘,0.8932552835733658,711453.3333333334,75,0.3276423169444494,48
고등학교-실·내외 체육시설-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8965598286312282,32000.0,1,0.3275666321439225,49
중학교-운동장-체육-고정된 물체와의 부딪힘,0.1038488238020692,298860.74578369176,6463,0.3273574460462201,50
중학교-강당(체육관)-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.8947237029198523,771900.0,10,0.3273409542906131,51
중학교-운동장-기타 활동시간-사람과의 부딪힘,0.8935041197841536,1183200.0,5,0.3270625342904123,52
"고등학교-운동장-기타(음악, 미술 등)-사람과의 부딪힘",0.8930965943206779,915222.2222222222,18,0.3270441365195098,53
중학교-운동장-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.8919354108204981,2146500.0,2,0.3268222669787391,54
고등학교-강당(체육관)-식사시간(간식 포함)-넘어짐,0.8651076137689304,866309.6026490066,604,0.326707314421182,55
고등학교-운동장-등교-1미터 미만의 높이에서 떨어짐,0.8829546321668643,10697000.0,5,0.3262724377376955,56
고등학교-기타 교외-등교-1미터 이상의 높이에서 떨어짐,0.8891996101707937,1302000.0,1,0.3259653889384502,57
고등학교-기타 체육·집회공간-기타 특별활동시간-고온의 물체·물질 접촉·흡입·섭취,0.8871324345882295,463000.0,1,0.3252876209066098,58
고등학교-교통구역(스쿨존 내)-인도-등교-넘어짐,0.8681155081225109,1864556.4516129035,372,0.3248124555517612,59
중학교-일반(교과)교실-쉬는시간-사람과의 부딪힘,0.8302976251468913,316091.32007233275,1106,0.3245134065802191,60
고등학교-운동장-등교-1미터 이상의 높이에서 떨어짐,0.884054562834916,227000.0,1,0.324468102853693,61
고등학교-운동장-기타 특별활동시간-사람과의 부딪힘,0.8746242425109153,675815.9509202454,163,0.3238722649405352,62
고등학교-기타 교내-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8799068469489372,1594000.0,3,0.3236974052492601,63
고등학교-기타 교내-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8767931337888026,4485800.0,10,0.3235316613957488,64
중학교-강당(체육관)-식사시간(간식 포함)-넘어짐,0.8573106763702688,461765.625,512,0.3234410288144357,65
고등학교-강당(체육관)-등교-넘어짐,0.8789049721160802,538333.3333333334,6,0.3232753930356263,66
"중학교-운동장-기타(음악, 미술 등)-사람 사이에 끼임·눌림",0.8791571531054231,233000.0,1,0.3232310263820054,67
중학교-일반(교과)교실-식사시간(간식 포함)-사람과의 부딪힘,0.8589096359191147,344707.9646017699,452,0.3230953135651528,68
고등학교-기타 교내-쉬는시간-1미터 이상의 높이에서 떨어짐,0.8736862496733514,4965500.0,2,0.3227504801065106,69
중학교-기타 교외-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.8769509869653686,269000.0,2,0.3226882652914323,70
중학교-기타 체육·집회공간-기타 특별활동시간-고온의 물체·물질 접촉·흡입·섭취,0.8763409073158933,459500.0,2,0.3225689031521739,71
고등학교-기타 교외-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8752945411598599,1865500.0,2,0.3225672909970332,72
고등학교-운동장-기타 활동시간-사람과의 부딪힘,0.8750952876323826,1802500.0,6,0.3225455999102998,73
고등학교-기타 교내-등교-1미터 이상의 높이에서 떨어짐,0.873384778567679,1810500.0,2,0.322070410636294,74
고등학교-기타 체육·집회공간-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.8728983656491203,592541.6666666666,24,0.3219427066503788,75
중학교-운동장-등교-넘어짐,0.8672587200376558,359222.22222222225,144,0.3217197407085609,76
중학교-기타 교외-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8731514613499043,94500.0,2,0.3216890024820206,77
중학교-운동장-기타 특별활동시간-사람과의 부딪힘,0.8654875906865175,495611.1111111111,180,0.3216815041627145,78
고등학교-일반(교과)교실-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8725518913835248,473166.6666666667,6,0.3216475637760019,79
고등학교-기타 교내-등교-1미터 미만의 높이에서 떨어짐,0.8720580298236003,1209500.0,2,0.3216187372829009,80
중학교-운동장-등교-스포츠 활동 중 충격을 가함,0.8706144381714918,386211.5384615384,52,0.321610232921648,81
"중학교-강당(체육관)-기타(음악, 미술 등)-사람과의 부딪힘",0.8723727498167898,327888.8888888889,9,0.3216053442732625,82
"중학교-강당(체육관)-기타(음악, 미술 등)-사람 사이에 끼임·눌림",0.8726857962860272,119000.0,2,0.3215748514064221,83
고등학교-기타 교내-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8716885461224638,945375.0,8,0.3215360747017094,84
중학교-운동장-등교-1미터 미만의 높이에서 떨어짐,0.8706544634878465,287142.8571428572,7,0.3211386048359792,85
고등학교-일반(교과)교실-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.8692428752463173,840090.9090909091,11,0.3209217789668856,86
고등학교-일반(교과)교실-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8687031956195785,353193.5483870968,31,0.3208976195235068,87
고등학교-교통구역(스쿨존 내)-자전거도로-등교-넘어짐,0.8681155081225109,788264.7058823529,34,0.3208594244807341,88
중학교-복도-쉬는시간-사람과의 부딪힘,0.7924246234017617,505075.8389261745,1490,0.3205914256972031,89
고등학교-기타 체육·집회공간-식사시간(간식 포함)-곤충·식물 등에 쏘임,0.868309913324229,101000.0,1,0.3204431700049026,90
"고등학교-강당(체육관)-기타(음악, 미술 등)-1미터 미만의 높이에서 떨어짐",0.8682622517498307,91500.0,2,0.3204393545169011,91
고등학교-실·내외 체육시설-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.8667449810142849,698222.2222222222,9,0.3202347732507202,92
"고등학교-기타 교내-기타(음악, 미술 등)-1미터 미만의 높이에서 떨어짐",0.8652179287595166,1938000.0,1,0.3199937869512841,93
고등학교-강당(체육관)-식사시간(간식 포함)-그밖의 손상 사고,0.8594906304276767,3088575.757575758,99,0.3197538765464213,94
고등학교-교통구역(스쿨존 내)-기타 교통구역-등교-넘어짐,0.8629669480561944,891888.8888888889,18,0.3193917769784224,95
고등학교-복도-등교-사람과의 부딪힘,0.8638570407318339,497500.0,2,0.3193843547920193,96
고등학교-기타 체육·집회공간-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.862467306173605,1770142.857142857,7,0.3193154949513508,97
중학교-실·내외 체육시설-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.863415643218796,368500.0,2,0.3192468138415781,98
중학교-운동장-쉬는시간-사람과의 부딪힘,0.841032194296514,387114.4578313253,498,0.3189838002445206,99
초등학교-일반(교과)교실-등교-사람과의 부딪힘,0.861264731693318,247700.0,20,0.3188534358554828,100
고등학교-강당(체육관)-등교-고정된 물체와의 부딪힘,0.8607948526070628,40000.0,2,0.3185107613413689,101
중학교-실·내외 체육시설-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8606285030767261,85000.0,2,0.3184761899967332,102
중학교-강당(체육관)-기타 특별활동시간-사람과의 부딪힘,0.855437987106743,496033.7078651685,89,0.3181064025481536,103
중학교-운동장-경기출전-사람 사이에 끼임·눌림,0.8566616516170454,1916200.0,5,0.3178225210709187,104
고등학교-운동장-식사시간(간식 포함)-그밖의 손상 사고,0.8447114688209141,2064166.6666666667,276,0.3176441764882354,105
고등학교-기타 체육·집회공간-등교-고온의 물체·물질 접촉·흡입·섭취,0.8545203177638068,197000.0,1,0.3169066244397779,106
중학교-기타 교외-경기출전-고온의 물체·물질 접촉·흡입·섭취,0.8545695615622647,80000.0,1,0.3168977854597114,107
"고등학교-강당(체육관)-식사시간(간식 포함)-베임, 절단",0.8519606237679875,262416.6666666667,12,0.3163648953732496,108
고등학교-기타 교내-식사시간(간식 포함)-고온의 물체·물질 접촉·흡입·섭취,0.8487826355122534,2436714.285714286,7,0.3158912366643638,109
중학교-기타 교외-등교-1미터 이상의 높이에서 떨어짐,0.8487749784714342,1749000.0,1,0.315699789014971,110
고등학교-운동장-등교-동물에게 물림(사람 포함),0.8459950031648927,78500.0,2,0.3146739996953316,111
중학교-강당(체육관)-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8425169720613042,1058985.0746268656,67,0.3146066535799399,112
중학교-기타 교외-등교-1미터 미만의 높이에서 떨어짐,0.8445157626241868,809000.0,3,0.3144315276637156,113
"고등학교-기타 교외-기타(음악, 미술 등)-고온의 물체·물질 접촉·흡입·섭취",0.8442971618670836,248000.0,4,0.314280831779929,114
중학교-강당(체육관)-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8434967297749454,519769.2307692308,13,0.3142117542834942,115
중학교-일반(교과)교실-식사시간(간식 포함)-사람 사이에 끼임·눌림,0.842061366824591,391333.3333333333,39,0.3140751743685728,116
초등학교-운동장-경기출전-사람과의 부딪힘,0.8430592051659015,136500.0,12,0.314016298254955,117
초등학교-일반(교과)교실-등교-사람 사이에 끼임·눌림,0.8435134434136886,35000.0,1,0.3140061730652982,118
고등학교-강당(체육관)-등교-1미터 미만의 높이에서 떨어짐,0.8416690160175496,2243000.0,1,0.3139309195751941,119
고등학교-기타 체육·집회공간-쉬는시간-1미터 이상의 높이에서 떨어짐,0.8408347269871637,1116000.0,2,0.3135121538645297,120
중학교-실·내외 체육시설-등교-스포츠 활동 중 충격을 가함,0.8390962834054109,2921000.0,1,0.3133808109702371,121
"고등학교-강당(체육관)-기타(음악, 미술 등)-사람과의 부딪힘",0.8405076238479013,681200.0,5,0.3133759729284415,122
"고등학교-강당(체육관)-식사시간(간식 포함)-긁힘, 찔림",0.8402234809916213,146476.19047619047,21,0.3133640204594067,123
고등학교-특별교실(과학실)-경기출전-고온의 물체·물질 접촉·흡입·섭취,0.8402830314484117,513000.0,2,0.3132558205644297,124
고등학교-운동장-식사시간(간식 포함)-동물에게 물림(사람 포함),0.8393799346413655,426000.0,7,0.3130523656116766,125
중학교-기타 교외-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8395852898290175,109000.0,2,0.3129980643068985,126
고등학교-교통구역(스쿨존 내)-차도-등교-넘어짐,0.838538427883213,730000.0,16,0.3129773075653398,127
고등학교-기타 교외-경기출전-1미터 이상의 높이에서 떨어짐,0.836902175771968,2643000.0,1,0.3127499996127815,128
고등학교-운동장-쉬는시간-고온의 물체·물질 접촉·흡입·섭취,0.8382560962205359,124000.0,1,0.3126408300686124,129
중학교-강당(체육관)-등교-고정된 물체와의 부딪힘,0.8369034352306863,365400.0,5,0.3123685094021479,130
"중학교-운동장-등교-긁힘, 찔림",0.8365459718502822,250400.0,5,0.3122530890930547,131
고등학교-기숙사-등교-1미터 이상의 높이에서 떨어짐,0.8361215751298576,567000.0,2,0.3121691253680853,132
고등학교-운동장-등교-넘어짐,0.8321847155829869,476538.4615384616,104,0.3121543053746867,133
중학교-강당(체육관)-등교-사람과의 부딪힘,0.8349728635750483,1488000.0,3,0.3120454359972807,134
중학교-교통구역(스쿨존 내)-인도-등교-넘어짐,0.8210453749212007,726417.3913043478,345,0.3118826546881619,135
고등학교-기숙사-등교-1미터 미만의 높이에서 떨어짐,0.8349446145946992,129700.0,10,0.3118581316224206,136
고등학교-기타 교외-경기출전-1미터 미만의 높이에서 떨어짐,0.8340249589594289,1332333.3333333333,3,0.3117659100017158,137
고등학교-계단-등교-넘어짐,0.8241181039648116,2564125.0,208,0.3115092189244825,138
고등학교-일반(교과)교실-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.8217783243924163,472328.71972318337,289,0.3113894676986409,139
중학교-운동장-등교-그밖의 손상 사고,0.8324636061393874,713285.7142857143,14,0.3113486765095229,140
중학교-강당(체육관)-식사시간(간식 포함)-기타 호흡 곤란,0.8329692537381622,234000.0,3,0.3112845598852719,141
중학교-복도-식사시간(간식 포함)-사람과의 부딪힘,0.8102052676160264,323222.01492537314,536,0.311176634634035,142
고등학교-강당(체육관)-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8288660952753929,837862.0689655172,87,0.3111615559621793,143
고등학교-운동장-경기출전-사람 사이에 끼임·눌림,0.8315973167654449,590833.3333333334,6,0.311016346951118,144
고등학교-강당(체육관)-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8308354471274225,753909.0909090909,11,0.3108942163457581,145
고등학교-일반(교과)교실-등교-1미터 미만의 높이에서 떨어짐,0.8299120530409773,1610200.0,5,0.3107466773996613,146
"중학교-일반(교과)교실-기타(음악, 미술 등)-사람과의 부딪힘",0.8302171213508207,349700.0,20,0.3107462753729565,147
고등학교-일반(교과)교실-등교-1미터 이상의 높이에서 떨어짐,0.8310307289085083,50000.0,2,0.3107272234805576,148
고등학교-교통구역(스쿨존 외)-인도-등교-넘어짐,0.8264832442332194,888423.0769230769,104,0.3107126934845744,149
중학교-운동장-식사시간(간식 포함)-1미터 미만의 높이에서 떨어짐,0.8196046527080424,1268535.4330708662,254,0.3105607455735426,150
중학교-강당(체육관)-경기출전-사람과의 부딪힘,0.826541726607002,565517.6470588235,85,0.3104708906954471,151
중학교-기타 교내-등교-1미터 미만의 높이에서 떨어짐,0.8287036787314924,1777500.0,2,0.3104263681477456,152
"중학교-강당(체육관)-기타(음악, 미술 등)-1미터 이상의 높이에서 떨어짐",0.828017739018598,1752000.0,1,0.3102291563531517,153
고등학교-운동장-쉬는시간-사람과의 부딪힘,0.8170677557939938,757648.1481481482,270,0.3099598322812414,154
고등학교-교통구역(스쿨존 외)-차도-등교-넘어짐,0.8265238013562832,579450.0,20,0.3098057558178763,155
고등학교-교통구역(스쿨존 외)-자전거도로-등교-넘어짐,0.8265238013562832,586600.0,15,0.3097569183958129,156
"중학교-강당(체육관)-기타(음악, 미술 등)-1미터 미만의 높이에서 떨어짐",0.8267617750189723,527833.3333333334,6,0.3097196119293269,157
중학교-강당(체육관)-기타 특별활동시간-사람 사이에 끼임·눌림,0.8253718245243369,807428.5714285715,7,0.3094102307198848,158
중학교-일반(교과)교실-기타 특별활동시간-사람과의 부딪힘,0.8243125643722956,641555.5555555555,9,0.3091171283127848,159
중학교-운동장-등교-고정된 물체와의 부딪힘,0.8229216524152275,302652.17391304346,46,0.3090556388295461,160
중학교-운동장-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8218040373408023,477508.1967213115,61,0.3089411465877651,161
중학교-운동장-기타 특별활동시간-사람 사이에 끼임·눌림,0.8234689380773043,128500.0,2,0.3087286131641374,162
고등학교-교통구역(스쿨존 외)-교통수단 안-등교-넘어짐,0.8228763189820676,415166.6666666667,6,0.3086621792901785,163
중학교-운동장-식사시간(간식 포함)-곤충·식물 등에 쏘임,0.8229052606147091,72400.0,5,0.3085975962883947,164
중학교-강당(체육관)-식사시간(간식 포함)-그밖의 손상 사고,0.8206671495042357,446175.4385964912,57,0.3085898806013634,165
"고등학교-운동장-식사시간(간식 포함)-긁힘, 찔림",0.8192423857518257,249151.16279069768,86,0.3084687604434322,166
고등학교-운동장-쉬는시간-1미터 이상의 높이에서 떨어짐,0.8215723078123327,591000.0,10,0.308385232960368,167
중학교-교통구역(스쿨존 내)-자전거도로-등교-넘어짐,0.8210453749212007,478000.0,23,0.3083534426195796,168
고등학교-강당(체육관)-기타 활동시간-사람과의 부딪힘,0.8221180129859458,73000.0,1,0.3083475054926457,169
고등학교-운동장-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8201706223262022,794861.1111111111,36,0.3083076548958159,170
고등학교-복도-식사시간(간식 포함)-1미터 이상의 높이에서 떨어짐,0.8206044629036777,1321500.0,8,0.3082397497055143,171
"중학교-기타 교외-기타(음악, 미술 등)-1미터 미만의 높이에서 떨어짐",0.8207234536262145,236000.0,1,0.3080038570739384,172
고등학교-실·내외 체육시설-경기출전-1미터 미만의 높이에서 떨어짐,0.8173846385414402,3679904.761904762,21,0.3079425002840842,173
고등학교-실·내외 체육시설-경기출전-1미터 이상의 높이에서 떨어짐,0.8187291648602886,1889375.0,8,0.3078411027547418,174
고등학교-실·내외 체육시설-경기출전-사람과의 부딪힘,0.8002534604224835,1473885.462555066,454,0.3076644465498114,175
중학교-강당(체육관)-등교-넘어짐,0.8187998619041011,227750.0,4,0.3075164287442751,176
중학교-실·내외 체육시설-경기출전-사람과의 부딪힘,0.8043823608496082,791057.2289156626,332,0.30722476770709,177
"고등학교-운동장-수련활동, 수학여행-사람과의 부딪힘",0.8160104268095011,1836000.0,1,0.3070307676439508,178
중학교-실·내외 체육시설-쉬는시간-1미터 이상의 높이에서 떨어짐,0.8164111914465189,151000.0,1,0.30683119641099,179
"중학교-강당(체육관)-기타(음악, 미술 등)-스포츠 활동 중 충격을 가함",0.8132531841407757,359769.23076923075,78,0.3067933605828553,180
중학교-교통구역(스쿨존 내)-기타 교통구역-등교-넘어짐,0.8145075492005358,347107.14285714284,28,0.3066228825113541,181
중학교-일반(교과)교실-쉬는시간-사람 사이에 끼임·눌림,0.8107432024281612,339650.0,120,0.3065454499639086,182
"중학교-강당(체육관)-식사시간(간식 포함)-긁힘, 찔림",0.8141327285122949,209964.2857142857,28,0.3064969313380032,183
중학교-운동장-쉬는시간-사람 사이에 끼임·눌림,0.8144347008129872,371125.0,16,0.306487825424749,184
고등학교-기타 체육·집회공간-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8150182542528936,62000.0,1,0.3064403033568274,185
"고등학교-일반(교과)교실-기타(음악, 미술 등)-사람과의 부딪힘",0.8146548483155132,396333.3333333333,3,0.3064227389733966,186
고등학교-일반(교과)교실-쉬는시간-고온의 물체·물질 접촉·흡입·섭취,0.81457288445898,121000.0,4,0.306360681113129,187
고등학교-일반(교과)교실-등교-물체 사이에 끼임·눌림,0.813740173545442,238555.5555555556,9,0.3062070507253729,188
고등학교-강당(체육관)-경기출전-사람과의 부딪힘,0.8085547636946099,1659593.220338983,118,0.3061739537614899,189
"고등학교-일반(교과)교실-등교-베임, 절단",0.813740173545442,137250.0,4,0.3061392274273625,190
고등학교-기타 교내-등교-사람과의 부딪힘,0.8135226568164343,13000.0,1,0.3060285094606441,191
중학교-실·내외 체육시설-쉬는시간-1미터 미만의 높이에서 떨어짐,0.813221034536902,101500.0,2,0.3059730315489106,192
"중학교-일반(교과)교실-기타(음악, 미술 등)-사람 사이에 끼임·눌림",0.8130575604266134,146666.66666666666,3,0.3059469760061268,193
중학교-기타 체육·집회공간-식사시간(간식 포함)-사람과의 부딪힘,0.8091932547767634,427528.0898876405,89,0.3058198908872432,194
중학교-복도-등교-스포츠 활동 중 충격을 가함,0.8114281707104267,965000.0,1,0.3056357100441631,195
고등학교-교통구역(스쿨존 외)-기타 교통구역-등교-넘어짐,0.8088032503043909,571888.8888888889,36,0.3052020812366304,196
중학교-운동장-쉬는시간-고온의 물체·물질 접촉·흡입·섭취,0.8103265348317755,74000.0,2,0.3051863995148987,197
고등학교-운동장-등교-그밖의 손상 사고,0.8092743963083571,448000.0,7,0.3050186119735895,198
고등학교-기타 교내-쉬는시간-고온의 물체·물질 접촉·흡입·섭취,0.8092746523401949,291500.0,2,0.3049410584810528,199
고등학교-기타 공용공간-등교-1미터 미만의 높이에서 떨어짐,0.8089414486045884,549000.0,2,0.3048973953239397,200
중학교-기타 체육·집회공간-등교-사람과의 부딪힘,0.8088460904480635,129750.0,4,0.3048155449232226,201
고등학교-일반(교과)교실-쉬는시간-사람과의 부딪힘,0.8010811541119917,815241.0256410256,195,0.3047982082615165,202
고등학교-강당(체육관)-식사시간(간식 포함)-물체 사이에 끼임·눌림,0.8071828084506818,442000.0,17,0.3045496302223088,203
중학교-기타 교내-쉬는시간-1미터 이상의 높이에서 떨어짐,0.8073307564281927,499000.0,2,0.30445184129206,204
중학교-운동장-식사시간(간식 포함)-스포츠 활동 중 충격을 가함,0.7286944543378987,400679.6973518285,1586,0.3044366812809244,205
중학교-기타 교내-쉬는시간-1미터 미만의 높이에서 떨어짐,0.8028785112553564,5179600.0,10,0.304183366556963,206
중학교-운동장-식사시간(간식 포함)-동물에게 물림(사람 포함),0.806215680031196,252666.66666666663,3,0.3041146625799636,207
초등학교-운동장-식사시간(간식 포함)-사람과의 부딪힘,0.7744599143150824,209701.871657754,748,0.3040365935165092,208
중학교-일반(교과)교실-기타 특별활동시간-사람 사이에 끼임·눌림,0.8059790898684749,25000.0,1,0.3039897888555119,209
"고등학교-강당(체육관)-기타(음악, 미술 등)-고정된 물체와의 부딪힘",0.8053329882163002,265750.0,4,0.303887136850358,210
중학교-기타 체육·집회공간-식사시간(간식 포함)-고정된 물체와의 부딪힘,0.8026191372770017,430041.6666666667,72,0.3038583905674751,211
고등학교-강당(체육관)-기타 활동시간-고정된 물체와의 부딪힘,0.8049742751892602,311222.22222222225,9,0.3038471065078257,212
중학교-일반(교과)교실-기타 활동시간-사람과의 부딪힘,0.8040899190227546,855500.0,2,0.3036360024236949,213
고등학교-강당(체육관)-기타 특별활동시간-사람과의 부딪힘,0.8013362733363606,838027.7777777778,72,0.3035824095005182,214
"고등학교-계단-등교-베임, 절단",0.8039128852741234,685500.0,2,0.3035570941780159,215
고등학교-강당(체육관)-기타 특별활동시간-사람 사이에 끼임·눌림,0.8034853647586486,1106200.0,5,0.3035464222051038,216
"고등학교-공원, 유원 시설-등교-넘어짐",0.8042285278684566,168000.0,1,0.3035398438004238,217
고등학교-강당(체육관)-식사시간(간식 포함)-사람과의 부딪힘,0.7923504224295566,552510.4166666666,288,0.3033732473848496,218
고등학교-일반(교과)교실-등교-넘어짐,0.8028530707487903,326125.0,8,0.3032627939603097,219
고등학교-실·내외 체육시설-식사시간(간식 포함)-사람과의 부딪힘,0.8019731435626813,1603125.0,8,0.3032542794471494,220
중학교-계단-등교-넘어짐,0.794128584145846,274370.6896551724,232,0.303191269976202,221
